Catergory,Name of the Product,Quantity(g),Protein(g),Dietary Fiber(g),Sugars(g),Added Sugars(g),Cholesterol(g),Sodium(g),Total Fat(g),Saturated Fat(g),Trans Fat(g)
Dairy,"0% Greek Yogurt, Nonfat, Plain",170,17,0,5,0,0.01,0.075,0,0,0
Snacks,"Crisp Crunchy Crisps, Pea and Chickpeas",28,4,3,0,0,0,0.25,2.5,0,0
